0117981020-0-0,,2020-06-13T11:59:59
4,BD-S010,140.92,0
5,BD-S007,150.62,1.14
6,BD-S010,151.76,0
7,BD-S008,151.76,1.77
8,BD-S010,153.53,0
9,BD-S013,153.53,1.77
10,BD-S015,155.3,0
11,BD-S020,155.3,2.66
0206212680-0-0,,2020-06-22T11:59:59
0,BD-S005,78.28,1.33
1,BD-S006,97.51,30
2,BD-S012,127.51,1
3,BD-S016,128.51,0.61
4,BD-S010,129.12,0
5,BD-S007,129.12,1.14
6,BD-S010,130.26,0
7,BD-S008,130.26,1.77
8,BD-S010,132.03,0
9,BD-S013,132.03,1.77
10,BD-S015,133.8,0
11,BD-S020,133.8,2.66
0206222680-0-0,,2020-06-22T11:59:59
0,BD-S005,87.79,1.33
1,BD-S006,97.66,30
2,BD-S012,134.31,1
3,BD-S016,135.31,0.61
4,BD-S010,135.92,0
5,BD-S007,136.06,1.14
6,BD-S010,137.2,0
7,BD-S008,137.83,1.77
8,BD-S010,139.6,0
9,BD-S013,139.6,1.77
10,BD-S015,141.37,0
11,BD-S020,142.26,2.66
0206232680-0-0,,2020-06-22T11:59:59
0,BD-S005,86.46,1.33
1,BD-S006,97.66,30
2,BD-S012,133.31,1
3,BD-S016,134.31,0.61
4,BD-S010,134.92,0
5,BD-S007,134.92,1.14
6,BD-S010,136.06,0
7,BD-S008,136.06,1.77
8,BD-S010,137.83,0
9,BD-S013,137.83,1.77
10,BD-S015,139.6,0
11,BD-S020,139.6,2.66
0206252680-0-0,,2020-06-22T11:59:59
0,BD-S005,89.12,1.33
1,BD-S006,97.66,30
2,BD-S012,135.31,1
3,BD-S016,136.31,0.61
4,BD-S010,136.92,0
5,BD-S007,137.2,1.14
6,BD-S010,138.34,0
7,BD-S008,139.6,1.77
8,BD-S010,141.37,0
9,BD-S013,141.37,1.77
10,BD-S015,143.14,0
11,BD-S020,144.92,2.66
0206272680-0-0,,2020-06-20T11:59:59
0,BD-S005,93.11,1.33
1,BD-S006,100.26,30
2,BD-S012,137.31,1
3,BD-S016,138.31,0.61
4,BD-S025,138.92,0
5,BD-S008,143.14,1.77
6,BD-S010,144.91,0
7,BD-S008,144.91,1.77
8,BD-S019,147.57,2.66
0206282680-0-0,,2020-06-24T11:59:59
0,BD-S005,72.39,1.33
1,BD-S006,81.06,30
2,BD-S012,111.26,1
3,BD-S016,122.93,0.61
4,BD-S010,123.54,0
5,BD-S007,124.07,1.14
6,BD-S010,125.21,0
7,BD-S008,125.84,1.77
8,BD-S010,127.61,0
9,BD-S013,127.61,1.77
10,BD-S020,129.38,2.66
0206642600-0-0,,2020-06-14T11:59:59
0,BD-S005,36.33,1.33
1,BD-S006,37.66,30
2,BD-S026,67.66,0
3,BD-S005,68.93,1.33
4,BD-S006,70.26,30
5,BD-S012,100.26,1
6,BD-S016,101.26,2.66
0206652600-0-0,,2020-06-14T11:59:59
0,BD-S005,90.45,1.33
1,BD-S006,100.26,30
2,BD-S026,130.26,0
3,BD-S005,132.31,1.33
4,BD-S006,133.64,30
5,BD-S012,163.64,1
6,BD-S016,164.64,2.66
0206902680-0-0,,2020-06-24T11:59:59
0,BD-S005,71.06,1.33
1,BD-S006,73.33,30
2,BD-S012,110.26,1
3,BD-S016,122.32,0.61
4,BD-S010,122.93,0
5,BD-S007,122.93,1.14
6,BD-S010,124.07,0
7,BD-S008,124.07,1.77
8,BD-S010,125.84,0
9,BD-S013,125.84,1.77
10,BD-S015,127.61,0
11,BD-S019,127.61,2.66
0304001100-0-0,,2020-06-11T11:59:59
0,BD-S005,110.96,0.8
1,BD-S007,112.78,1.14
2,BD-S016,153.99,2.66
0304021100-Fe-0-0,,2020-06-20T11:59:59
0,BD-S005,54.43,0.8
1,BD-S007,70.63,1.14
2,BD-S016,89.67,2.66
0304031100-0-0,,2020-06-11T11:59:59
0,BD-S005,55.23,0.8
1,BD-S007,71.77,1.14
2,BD-S016,92.33,2.66
0304041100-0-0,,2020-06-20T11:59:59
0,BD-S005,57.63,0.8
1,BD-S007,76.34,1.14
2,BD-S005,77.48,0.8
3,BD-S007,78.28,1.14
4,BD-S016,97.65,2.66
0304051100-C-0-0,,2020-06-20T11:59:59
0,BD-S005,29.06,0.8
1,BD-S007,30.76,1.14
2,BD-S005,31.9,0.8
3,BD-S007,32.7,1.14
4,BD-S016,33.84,2.66
0304061100-C-0-0,,2020-06-20T11:59:59
0,BD-S005,56.83,0.8
1,BD-S007,74.05,1.14
2,BD-S016,94.99,2.66
0601681100-Fe-0-0,,2020-06-15T11:59:59
0,BD-S005,52.03,0.8
1,BD-S007,65.02,1.14
2,BD-S005,66.16,0.8
3,BD-S012,78.13,1
4,BD-S016,87.01,2.66
0601711100-A-0-0,,2020-06-15T11:59:59
0,BD-S005,50.43,0.8
1,BD-S007,60.99,1.14
2,BD-S005,62.13,0.8
3,BD-S012,71.93,1
4,BD-S016,80.2,2.66
0601811220-0-0,,2020-06-18T11:59:59
0,BD-S005,82.96,0.8
1,BD-S006,103.33,30
2,BD-S012,138.31,1
3,BD-S025,139.31,0
4,BD-S007,144.48,1.14
5,BD-S016,145.62,0.61
6,BD-S011,146.23,0
7,BD-S012,146.23,1
8,BD-S020,147.58,2.66
0702751100-2-0,,2020-06-22T11:59:59
0703011100-0-0,,2020-06-20T11:59:59
0,BD-S005,46.43,0.8
1,BD-S006,51.06,30
2,BD-S012,83.06,1
3,BD-S005,84.06,0.8
4,BD-S012,84.86,1
5,BD-S016,86.4,0.61
6,BD-S018,87.01,0
0703021100-0-0,,2020-06-18T11:59:59
0,BD-S005,66.96,0.8
1,BD-S007,87.94,1.14
2,BD-S016,119.05,2.66
0703031100-0-0,,2020-06-17T11:59:59
0,BD-S005,74.52,0.8
1,BD-S007,89.08,1.14
2,BD-S016,124.15,2.66
0703041100-Fe-0-1,,2020-06-20T11:59:59
0703041100-Fe-0-2,,2020-06-20T11:59:59
0703061100-0-0,,2020-06-12T11:59:59
0,BD-S005,60.03,0.8
1,BD-S006,67.51,30
2,BD-S012,101.26,1
3,BD-S016,109.24,2.66
0703071100-0-0,,2020-06-14T11:59:59
0,BD-S005,37.66,0.8
1,BD-S007,39.69,1.14
2,BD-S005,40.83,0.8
3,BD-S007,41.63,1.14
4,BD-S016,47.99,2.66
0703081100-0-0,,2020-06-26T11:59:59
0,BD-S005,106.96,0.8
1,BD-S006,127.66,30
2,BD-S012,157.66,1
3,BD-S016,158.66,2.66
0703101100-0-0,,2020-06-20T11:59:59
0,BD-S005,103.23,0.8
1,BD-S006,111.06,30
2,BD-S012,144.31,1
3,BD-S005,145.31,0.8
4,BD-S012,147.23,1
5,BD-S016,149.5,0.61
6,BD-S018,150.11,0
0703111100-0-0,,2020-06-20T11:59:59
0,BD-S005,82.16,0.8
1,BD-S006,97.51,30
2,BD-S012,130.51,1
3,BD-S005,131.51,0.8
4,BD-S012,132.31,1
5,BD-S016,133.31,0.61
6,BD-S018,133.92,0
0703121100-0-0,,2020-06-20T11:59:59
0,BD-S005,30.66,0.8
1,BD-S006,34.53,30
2,BD-S012,67.13,1
3,BD-S005,68.13,0.8
4,BD-S012,68.93,1
5,BD-S016,69.93,0.61
6,BD-S018,70.54,0
0703131100-0-0,,2020-06-20T11:59:59
0,BD-S005,3.73,0.8
1,BD-S006,4.53,30
2,BD-S012,34.53,1
3,BD-S005,35.53,0.8
4,BD-S012,36.33,1
5,BD-S016,37.33,0.61
6,BD-S018,37.94,0
0703141100-0-0,,2020-06-23T11:59:59
0,BD-S005,41.63,0.8
1,BD-S006,43.33,30
2,BD-S012,75.33,1
3,BD-S005,76.33,0.8
4,BD-S012,77.13,1
5,BD-S016,78.13,0.61
6,BD-S018,78.74,0
0703151100-0-0,,2020-06-23T11:59:59
0,BD-S005,110.16,0.8
1,BD-S006,130.26,30
2,BD-S012,160.26,1
3,BD-S005,161.26,0.8
4,BD-S012,162.06,1
5,BD-S016,163.98,0.61
6,BD-S018,164.59,0
0703161100-0-0,,2020-06-20T11:59:59
0,BD-S005,60.83,0.8
1,BD-S007,83.64,1.14
2,BD-S005,85.66,0.8
3,BD-S007,86.8,1.14
4,BD-S016,111.9,2.66
0703171100-0-0,,2020-06-20T11:59:59
0,BD-S005,59.23,0.8
1,BD-S007,82.5,1.14
2,BD-S005,84.86,0.8
3,BD-S007,85.66,1.14
4,BD-S016,106.58,2.66
0703181100-0-0,,2020-06-25T11:59:59
0,BD-S005,58.43,0.8
1,BD-S007,79.42,1.14
2,BD-S005,80.56,0.8
3,BD-S007,81.36,1.14
4,BD-S016,103.92,2.66
9800257701-0-0,,2020-06-10T11:59:59
0,BD-S005,22.66,0.8
1,BD-S006,32.13,30
2,BD-S012,64.13,1
3,BD-S016,65.13,0.61
